applied,applied_on,match_feedback,score,title,company,location,url,frozen_score,legacy_score,percentile,band,jd_difficulty,must_coverage,missing_must,top_gaps,score_flags,sub_scores,source,apply_channel,salary_min,salary_max,updated_at,resume_docx,resume_pdf,tailored_summary,bullets_to_lead_with,rewritten_bullets,keywords_to_add_if_true,fit_exact,fit_partial,fit_gaps,outreach_note,change_log,honest_gap_note,missing_keywords,description_snippet
no,,,71,Product Manager,CarWale,"Navi Mumbai, Maharashtra",https://www.adzuna.in/details/2453704573?utm_medium=api&utm_source=195aa6d0,48,80,96,strong,0.56,9/12,"vashi, navi mumbai, plm","[{""need"": ""vashi"", ""gain"": 2}, {""need"": ""navi mumbai"", ""gain"": 2}, {""need"": ""plm"", ""gain"": 2}, {""need"": ""development tea"", ""gain"": 1}]",,"{""skill_match"": 0.6748, ""experience_fit"": 1.0, ""domain"": 0, ""education"": 1.0, ""achievement"": 0.8571, ""trajectory"": 1.0}",adzuna,aggregator,1000000,1500000,2021-09-13T01:16:40Z,data/resumes/2026-07-28/CarWale_Product_Manager/Mehul_Agarwal.docx,data/resumes/2026-07-28/CarWale_Product_Manager/Mehul_Agarwal.pdf,,[],[],[],[],[],[],,Skill items resequenced toward JD mentions,tailoring skipped (GEMINI_API_KEY not set),"location, vashi, navi, description, responsibility, functional, implement, changes, monetization","Product Manager Experience - 2 - 3 years Job Location - Vashi, Navi Mumbai Skills Required - Product Management, Product Strategy, Product development, Business Analysis, Agile/Scrum, Product Lifecycle Management (PLM) Role description: Primary responsibility of the role would be to define the product roadmap & backlog, work with business and functional teams to design and implement changes that drive user acquisition, user experience & monetization. Key responsibilities: Lead a development tea…"
no,,,65,Product Manager,Newton School,"Bangalore, Karnataka",https://www.adzuna.in/details/5759291757?utm_medium=api&utm_source=195aa6d0,54,80,72,competitive,0.14,0/0,,"[{""need"": ""self-motivated"", ""gain"": 2}, {""need"": ""continue"", ""gain"": 2}, {""need"": ""push"", ""gain"": 2}, {""need"": ""envelope"", ""gain"": 2}, {""need"": ""dynamic"", ""gain"": 2}]",,"{""skill_match"": 0.614, ""experience_fit"": 0.85, ""domain"": 0, ""education"": 1.0, ""achievement"": 0.8571, ""trajectory"": 1.0}",adzuna,aggregator,,,2026-06-11T06:57:27Z,data/resumes/2026-07-28/Newton_School_Product_Manager/Mehul_Agarwal.docx,data/resumes/2026-07-28/Newton_School_Product_Manager/Mehul_Agarwal.pdf,,[],[],[],[],[],[],,No changes vs base CV,tailoring skipped (GEMINI_API_KEY not set),"seeking, self-motivated, innovative, continue, push, envelope, dynamic, driven, responsible, conducting, creating, timeframes","We are seeking a self-motivated and innovative product manager to join our growing company and help us continue to push the envelope with our products. As a product manager on our dynamic and driven team, you will be responsible for owning the development and delivery of new products by conducting market research, creating product timeframes and plans, and crafting marketing strategies for new products. Skills: Market Research, Project Planning, Marketing Strategy, Product Management Experience…"
no,,,65,Senior Product Manager,Experian,"Mumbai, Maharashtra",https://www.adzuna.in/details/5808145425?utm_medium=api&utm_source=195aa6d0,41,80,68,competitive,0.08,0/0,,"[{""need"": ""description experian india"", ""gain"": 1}, {""need"": ""direct-to-consumer"", ""gain"": 1}, {""need"": ""d2c"", ""gain"": 1}, {""need"": ""monetization"", ""gain"": 1}, {""need"": ""experian"", ""gain"": 1}]",,"{""skill_match"": 0.5742, ""experience_fit"": 0.85, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",adzuna,aggregator,,,2026-07-20T19:01:32Z,data/resumes/2026-07-28/Experian_Senior_Product_Manager/Mehul_Agarwal.docx,data/resumes/2026-07-28/Experian_Senior_Product_Manager/Mehul_Agarwal.pdf,,[],[],[],[],[],[],,No changes vs base CV,tailoring skipped (GEMINI_API_KEY not set),"experian, description, senior, direct-to-consumer, customer, monetization, ideal, combines, thinking, capability, closely, science","Job Description Experian India is looking for a Senior Product Manager to lead its Direct-to-Consumer (D2C) business. This role will own the end-to-end consumer product strategy, roadmap, customer experience, growth, monetization, and delivery across Experian's digital consumer platforms. The ideal candidate combines product thinking and execution capability. You will work closely with Engineering, Data Science, Analytics, Design, Marketing, Legal, Compliance, Sales, and external partners to bu…"
no,,,63,Product Manager,Biddano,"Pune, Maharashtra",https://www.adzuna.in/details/1885160084?utm_medium=api&utm_source=195aa6d0,44,69,63,competitive,0.08,0/0,,"[{""need"": ""manage agile"", ""gain"": 1}, {""need"": ""agile product"", ""gain"": 1}, {""need"": ""view develop"", ""gain"": 1}, {""need"": ""strategies consistent"", ""gain"": 1}, {""need"": ""vision develop"", ""gain"": 1}]",,"{""skill_match"": 0.5125, ""experience_fit"": 0.85, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",adzuna,aggregator,1000000,2400000,2020-12-17T04:25:25Z,data/resumes/2026-07-28/Biddano_Product_Manager/Mehul_Agarwal.docx,data/resumes/2026-07-28/Biddano_Product_Manager/Mehul_Agarwal.pdf,,[],[],[],[],[],[],,No changes vs base CV,tailoring skipped (GEMINI_API_KEY not set),"develop, manage, agile, point, view, implement, consistent, vision, maintain, understanding, positioning, collect","Product Manager Responsibilities: Manage agile product development process from product management point of view Develop and implement product strategies consistent with company vision Develop and maintain an understanding of the product, market, and competition Develop product positioning and go to market strategy Collect and analyze feedback from customers, stakeholders and other teams to shape requirements, features and products Identify areas for growth and create strategic product line roa…"
no,,,62,Product Manager,Qrata,"Bangalore, Karnataka",https://www.adzuna.in/details/4514376946?utm_medium=api&utm_source=195aa6d0,42,67,81,competitive,0.4,1/2,4-6,"[{""need"": ""4-6"", ""gain"": 3}, {""need"": ""4 years of experience (you show 3.9)"", ""gain"": 2}, {""need"": ""passionate"", ""gain"": 2}, {""need"": ""expect"", ""gain"": 2}, {""need"": ""bring"", ""gain"": 2}]",,"{""skill_match"": 0.5152, ""experience_fit"": 0.885, ""domain"": 0, ""education"": 1.0, ""achievement"": 0.8571, ""trajectory"": 1.0}",adzuna,aggregator,1000000,4500000,2024-01-07T15:08:19Z,data/resumes/2026-07-28/Qrata_Product_Manager/Mehul_Agarwal.docx,data/resumes/2026-07-28/Qrata_Product_Manager/Mehul_Agarwal.pdf,,[],[],[],[],[],[],,No changes vs base CV,tailoring skipped (GEMINI_API_KEY not set),"passionate, skilled, expect, bring, fresh, pair, eyes, managing, gathering, customer, defining, vision","Summary of Role We are looking for a passionate and skilled Product Manager, we expect you to bring a fresh pair of eyes for both product planning and product marketing. This includes managing the product throughout the Product Lifecycle, gathering and prioritizing product and customer requirements, defining the product vision, and working to deliver winning products. Must Have Background for this Role: Min 4-6 years of strong experience in product management role. Bachelor’s degree (MBA prefer…"
no,,,62,Corporate Development â Fintech Partnerships Manager,Qrata,"Mumbai, Maharashtra",https://www.adzuna.in/details/4514376182?utm_medium=api&utm_source=195aa6d0,42,61,64,competitive,0.12,0/0,,"[{""need"": ""corporate development"", ""gain"": 2}, {""need"": ""mumbai"", ""gain"": 2}, {""need"": ""bkc grade"", ""gain"": 2}, {""need"": ""m4/m5"", ""gain"": 2}, {""need"": ""alliance partnerships"", ""gain"": 2}]",,"{""skill_match"": 0.3675, ""experience_fit"": 1.0, ""domain"": 0.25, ""education"": 1.0, ""achievement"": 0.8571, ""trajectory"": 1.0}",adzuna,aggregator,1500000,2400000,2024-01-07T15:07:49Z,data/resumes/2026-07-28/Qrata_Corporate_Development_Fintech_Partnershi/Mehul_Agarwal.docx,data/resumes/2026-07-28/Qrata_Corporate_Development_Fintech_Partnershi/Mehul_Agarwal.pdf,,[],[],[],[],[],[],,Skill items resequenced toward JD mentions,tailoring skipped (GEMINI_API_KEY not set),"corporate, location, grade, m4/m5, develop, alliance, startups, position, require, relationship, basic, understanding","Experience: 2 – 5 years Job location: Mumbai - BKC Grade: M4/M5 As part of the Corporate Development Team, you will develop product and alliance partnerships with fintech and technology startups. The position will require stakeholder management, relationship building, basic understanding of fintech products, and interest in startup ecosystem. Corporate Development at Kotak Securities is responsible for driving development of next-generation products and adoption of future technology by partneri…"
no,,,61,Product Manager,SweetsInBox.com,"Pune, Maharashtra",https://www.adzuna.in/details/1171509508?utm_medium=api&utm_source=195aa6d0,52,70,68,competitive,0.22,2/2,,"[{""need"": ""offer handsome equity"", ""gain"": 3}, {""need"": ""suitable"", ""gain"": 3}, {""need"": ""entrepreneurship"", ""gain"": 3}, {""need"": ""growth hacking"", ""gain"": 3}, {""need"": ""mobile app marketing"", ""gain"": 3}]",,"{""skill_match"": 0.472, ""experience_fit"": 0.85, ""domain"": 0, ""education"": 1.0, ""achievement"": 1, ""trajectory"": 1.0}",adzuna,aggregator,500000,1000000,2019-06-05T21:12:27Z,data/resumes/2026-07-28/SweetsInBox_com_Product_Manager/Mehul_Agarwal.docx,data/resumes/2026-07-28/SweetsInBox_com_Product_Manager/Mehul_Agarwal.pdf,,[],[],[],[],[],[],,No changes vs base CV,tailoring skipped (GEMINI_API_KEY not set),"person, willing, offer, handsome, equity, suitable, entrepreneurship, hacking, mobile","Person should have more than 5 years of Product Management experience. We are willing to offer handsome equity to a suitable candidate. Skills: Entrepreneurship, Growth Hacking, Mobile App Marketing, Product Management and Product Strategy"
no,,,61,Product Manager,Spry Healthcare,"Pune, Maharashtra",https://www.adzuna.in/details/4812320738?utm_medium=api&utm_source=195aa6d0,39,67,66,competitive,0.18,0/0,,"[{""need"": ""4 years of experience (you show 3.9)"", ""gain"": 2}, {""need"": ""pune"", ""gain"": 2}, {""need"": ""office"", ""gain"": 2}, {""need"": ""ceo"", ""gain"": 2}, {""need"": ""senior management"", ""gain"": 2}]",,"{""skill_match"": 0.491, ""experience_fit"": 0.885, ""domain"": 0, ""education"": 1.0, ""achievement"": 0.8571, ""trajectory"": 1.0}",adzuna,aggregator,1500000,2500000,2024-08-06T10:56:05Z,data/resumes/2026-07-28/Spry_Healthcare_Product_Manager/Mehul_Agarwal.docx,data/resumes/2026-07-28/Spry_Healthcare_Product_Manager/Mehul_Agarwal.pdf,,[],[],[],[],[],[],,No changes vs base CV,tailoring skipped (GEMINI_API_KEY not set),"location, office, report, build, need, senior, execute, pipeline, successful, co-own, success, jira","Location - Pune (Work from Office) Experience - 4 – 6 years About the role – The Product Manager role will report to the CEO and will build the product from 0 to 1. Responsibilities  Need to work with the senior management team to work on product roadmap  Work with tech and management to create and execute product pipeline  Own the successful delivery of your roadmap and co-own the success of the overall products  Define requirements (JIRA) - Creating EPICs, user stories. Tracking the sprin…"
no,,,61,Product Manager,AskLaila,"Bangalore, Karnataka",https://www.adzuna.in/details/5789810730?utm_medium=api&utm_source=195aa6d0,44,64,58,borderline,0.08,0/0,,"[{""need"": ""dedicated ai"", ""gain"": 1}, {""need"": ""expansion"", ""gain"": 1}, {""need"": ""demands analytical"", ""gain"": 1}, {""need"": ""deep"", ""gain"": 1}, {""need"": ""coupled"", ""gain"": 1}]",,"{""skill_match"": 0.5042, ""experience_fit"": 0.85, ""domain"": 0, ""education"": 1.0, ""achievement"": 0.8571, ""trajectory"": 1.0}",adzuna,aggregator,,,2026-07-06T15:04:17Z,data/resumes/2026-07-28/AskLaila_Product_Manager/Mehul_Agarwal.docx,data/resumes/2026-07-28/AskLaila_Product_Manager/Mehul_Agarwal.pdf,,[],[],[],[],[],[],,No changes vs base CV,tailoring skipped (GEMINI_API_KEY not set),"technologies, dedicated, expansion, demands, analytical, deep, understanding, coupled, effectively, launch, innovative, user-centric","We are looking for a dedicated AI Product Manager to lead the development and expansion of our next generation of AI products. The role demands analytical ability and a deep understanding of AI technologies, coupled with the ability to work effectively across teams to launch products that are innovative and user-centric. Responsibilities Create and execute product strategies designed specifically for AI technologies. Develop product roadmaps and timelines in partnership with technical and busin…"
no,,,61,Senior Product Manager,314e corporation,"Bangalore, Karnataka",https://www.adzuna.in/details/5235345436?utm_medium=api&utm_source=195aa6d0,42,80,58,borderline,0.08,0/0,,"[{""need"": ""business objectives"", ""gain"": 2}, {""need"": ""objectives define"", ""gain"": 2}, {""need"": ""product features"", ""gain"": 2}, {""need"": ""features based"", ""gain"": 2}, {""need"": ""customer feedback"", ""gain"": 2}]",,"{""skill_match"": 0.5208, ""experience_fit"": 0.85, ""domain"": 0, ""education"": 1.0, ""achievement"": 0.8571, ""trajectory"": 1.0}",adzuna,aggregator,2000000,6000000,2025-06-06T05:03:12Z,data/resumes/2026-07-28/314e_corporation_Senior_Product_Manager/Mehul_Agarwal.docx,data/resumes/2026-07-28/314e_corporation_Senior_Product_Manager/Mehul_Agarwal.pdf,,[],[],[],[],[],[],,No changes vs base CV,tailoring skipped (GEMINI_API_KEY not set),"responsibility, aligning, objectives, features, customer, feedback, demands, ideation, timely, outcomes, collaborate, closely","Responsibility: Lead the planning and execution of the product roadmap, aligning with the overall business objectives Define and prioritize product features based on customer feedback, data analysis, marketing demands and domain requirements. Drive the product development process, from ideation through release, ensuring timely delivery and high- quality outcomes Collaborate closely with engineering, marketing, and sales, to drive successful launch, development, and advancement of B2B products E…"
